Avgstr = 14.1378158881256937
CG Iteration #1, relres 0.9961744809080414
CG Iteration #2, relres 0.9886140664895027
CG Iteration #3, relres 0.9823475123405430
CG Iteration #4, relres 0.9666162653812855
CG Iteration #5, relres 0.9565137929204760
CG Iteration #6, relres 0.9400531537853175
CG Iteration #7, relres 0.9259561989472629
CG Iteration #8, relres 0.9022987000209450
CG Iteration #9, relres 0.8802339909093178
CG Iteration #10, relres 0.8635031098279033
CG Iteration #11, relres 0.8373998401681261
CG Iteration #12, relres 0.8129824581849558
CG Iteration #13, relres 0.7921337644904083
CG Iteration #14, relres 0.7687839843614043
CG Iteration #15, relres 0.7484037362127780
CG Iteration #16, relres 0.7222819014397351
CG Iteration #17, relres 0.6965611339402984
CG Iteration #18, relres 0.6767967637669932
CG Iteration #19, relres 0.6518554420934440
CG Iteration #20, relres 0.6291141677718466
CG Iteration #21, relres 0.6078205485662447
CG Iteration #22, relres 0.5847237292723383
CG Iteration #23, relres 0.5638062463487052
CG Iteration #24, relres 0.5335321950232810
CG Iteration #25, relres 0.5061676735948044
CG Iteration #26, relres 0.4841248277256656
CG Iteration #27, relres 0.4718673828843609
CG Iteration #28, relres 0.4497279603575340
CG Iteration #29, relres 0.4243081433615460
CG Iteration #30, relres 0.4002129563520089
CG Iteration #31, relres 0.3793613873203017
CG Iteration #32, relres 0.3511221918206658
CG Iteration #33, relres 0.3342191518865216
CG Iteration #34, relres 0.3120089489548563
CG Iteration #35, relres 0.2889618017305646
CG Iteration #36, relres 0.2743177543473443
CG Iteration #37, relres 0.2553288066168194
CG Iteration #38, relres 0.2396939966116131
CG Iteration #39, relres 0.2252279687513428
CG Iteration #40, relres 0.2142592714662100
CG Iteration #41, relres 0.1962122362330191
CG Iteration #42, relres 0.1833493082492298
CG Iteration #43, relres 0.1718199958317305
CG Iteration #44, relres 0.1592342121240146
CG Iteration #45, relres 0.1471761893509453
CG Iteration #46, relres 0.1363748214182907
CG Iteration #47, relres 0.1239249258084541
CG Iteration #48, relres 0.1146918866602450
