Avgstr = 43537813.9168765991926193
CG Iteration #1, relres 0.3275599229923138
CG Iteration #2, relres 0.2105192653772558
CG Iteration #3, relres 0.1152770283452104
CG Iteration #4, relres 0.0791404317593690
CG Iteration #5, relres 0.0526496047586155
CG Iteration #6, relres 0.0544060851355285
CG Iteration #7, relres 0.0410560150245776
CG Iteration #8, relres 0.0390145387112639
CG Iteration #9, relres 0.0338615242784552
CG Iteration #10, relres 0.0300404776202015
CG Iteration #11, relres 0.0262093489855550
CG Iteration #12, relres 0.0204540468204357
CG Iteration #13, relres 0.0167652865373489
CG Iteration #14, relres 0.0172425218083108
CG Iteration #15, relres 0.0185422366804068
CG Iteration #16, relres 0.0151812511519936
CG Iteration #17, relres 0.0134271147265320
CG Iteration #18, relres 0.0106949502240305
CG Iteration #19, relres 0.0101894239098443
CG Iteration #20, relres 0.0099287217421088
CG Iteration #21, relres 0.0086253605705494
CG Iteration #22, relres 0.0073573316674723
CG Iteration #23, relres 0.0073870506362610
CG Iteration #24, relres 0.0065947325901335
CG Iteration #25, relres 0.0060393068236752
CG Iteration #26, relres 0.0055368897633649
CG Iteration #27, relres 0.0054700936506004
CG Iteration #28, relres 0.0049011454940766
CG Iteration #29, relres 0.0046867323048785
CG Iteration #30, relres 0.0042337226530019
CG Iteration #31, relres 0.0040596629565466
CG Iteration #32, relres 0.0031217594771763
CG Iteration #33, relres 0.0027826107096590
CG Iteration #34, relres 0.0031843435303398
CG Iteration #35, relres 0.0033776802973280
CG Iteration #36, relres 0.0026250524281005
CG Iteration #37, relres 0.0026159904929236
CG Iteration #38, relres 0.0031274141794945
CG Iteration #39, relres 0.0021849825362159
CG Iteration #40, relres 0.0024049557094216
CG Iteration #41, relres 0.0021798545798910
CG Iteration #42, relres 0.0026183464626103
CG Iteration #43, relres 0.0023678976357853
CG Iteration #44, relres 0.0022290609951967
CG Iteration #45, relres 0.0029450270440670
CG Iteration #46, relres 0.0018418758898936
CG Iteration #47, relres 0.0013722452918965
CG Iteration #48, relres 0.0017233570961569
CG Iteration #49, relres 0.0014701585553284
CG Iteration #50, relres 0.0018064641874694
CG Iteration #51, relres 0.0021037099430550
CG Iteration #52, relres 0.0016146022392975
CG Iteration #53, relres 0.0018411889157799
CG Iteration #54, relres 0.0018472564547871
CG Iteration #55, relres 0.0013248281341676
CG Iteration #56, relres 0.0025132630255204
CG Iteration #57, relres 0.0011956743482461
CG Iteration #58, relres 0.0008497439184796
CG Iteration #59, relres 0.0010029743591402
CG Iteration #60, relres 0.0011702418657491
CG Iteration #61, relres 0.0013127534064515
CG Iteration #62, relres 0.0013806205673119
CG Iteration #63, relres 0.0014323634386361
