Avgstr = 43537813.9168765991926193
CG Iteration #1, relres 0.3275599229923138
CG Iteration #2, relres 0.2105192653772558
CG Iteration #3, relres 0.1152770283452104
CG Iteration #4, relres 0.0791404317593690
CG Iteration #5, relres 0.0526496047586155
CG Iteration #6, relres 0.0544060851355285
CG Iteration #7, relres 0.0410560150245776
CG Iteration #8, relres 0.0390145387112639
CG Iteration #9, relres 0.0338615242784552
CG Iteration #10, relres 0.0300404776202015
CG Iteration #11, relres 0.0262093489855550
CG Iteration #12, relres 0.0204540468204357
CG Iteration #13, relres 0.0167652865373489
CG Iteration #14, relres 0.0172425218083108
CG Iteration #15, relres 0.0185422366804068
CG Iteration #16, relres 0.0151812511519936
CG Iteration #17, relres 0.0134271147265320
CG Iteration #18, relres 0.0106949502240305
CG Iteration #19, relres 0.0101894239098443
CG Iteration #20, relres 0.0099287217421088
CG Iteration #21, relres 0.0086253605705494
CG Iteration #22, relres 0.0073573316674723
CG Iteration #23, relres 0.0073870506362610
CG Iteration #24, relres 0.0065947325901335
CG Iteration #25, relres 0.0060393068236752
CG Iteration #26, relres 0.0055368897633649
CG Iteration #27, relres 0.0054700936506004
CG Iteration #28, relres 0.0049011454940766
CG Iteration #29, relres 0.0046867323048785
CG Iteration #30, relres 0.0042337226530019
CG Iteration #31, relres 0.0040596629565466
CG Iteration #32, relres 0.0031217594771763
CG Iteration #33, relres 0.0027826107096590
CG Iteration #34, relres 0.0031843435303398
CG Iteration #35, relres 0.0033776802973279
CG Iteration #36, relres 0.0026250524280972
CG Iteration #37, relres 0.0026159904923175
CG Iteration #38, relres 0.0031274141477072
CG Iteration #39, relres 0.0021849816841183
CG Iteration #40, relres 0.0024047911583680
CG Iteration #41, relres 0.0021552444428910
CG Iteration #42, relres 0.0018586472966218
CG Iteration #43, relres 0.0022862962713169
CG Iteration #44, relres 0.0017714015517551
CG Iteration #45, relres 0.0014122414892993
CG Iteration #46, relres 0.0011322059853898
CG Iteration #47, relres 0.0014321707010418
CG Iteration #48, relres 0.0015548795071633
CG Iteration #49, relres 0.0014047474586222
CG Iteration #50, relres 0.0013514683918538
CG Iteration #51, relres 0.0013168447334856
CG Iteration #52, relres 0.0007331455002301
CG Iteration #53, relres 0.0008211730282297
CG Iteration #54, relres 0.0008816537831816
CG Iteration #55, relres 0.0006725972916538
CG Iteration #56, relres 0.0007821482841084
CG Iteration #57, relres 0.0007472891248513
CG Iteration #58, relres 0.0005850524335862
CG Iteration #59, relres 0.0006060927932344
CG Iteration #60, relres 0.0004216925942339
CG Iteration #61, relres 0.0006226586840287
CG Iteration #62, relres 0.0006188788367471
CG Iteration #63, relres 0.0003699294342836
