Avgstr = 14.6143727453722878
CG Iteration #1, relres 0.9986538984263951
CG Iteration #2, relres 0.9941984342236955
CG Iteration #3, relres 0.9919661621301576
CG Iteration #4, relres 0.9866341158239189
CG Iteration #5, relres 0.9812358018269760
CG Iteration #6, relres 0.9719866193090559
CG Iteration #7, relres 0.9674666292205460
CG Iteration #8, relres 0.9617815960133078
CG Iteration #9, relres 0.9534275716021671
CG Iteration #10, relres 0.9474076518584292
CG Iteration #11, relres 0.9393775824325082
CG Iteration #12, relres 0.9304812261180248
CG Iteration #13, relres 0.9232813423753191
CG Iteration #14, relres 0.9151947196615210
CG Iteration #15, relres 0.9047666782682521
CG Iteration #16, relres 0.8960521806275460
CG Iteration #17, relres 0.8879108871184878
CG Iteration #18, relres 0.8785709555766629
CG Iteration #19, relres 0.8713205483886802
CG Iteration #20, relres 0.8618771298033484
CG Iteration #21, relres 0.8515007777244987
CG Iteration #22, relres 0.8431204851357595
CG Iteration #23, relres 0.8359266823572545
CG Iteration #24, relres 0.8246336250134408
CG Iteration #25, relres 0.8158986593578106
CG Iteration #26, relres 0.8070465192015156
CG Iteration #27, relres 0.7953043883703643
CG Iteration #28, relres 0.7847520024490181
CG Iteration #29, relres 0.7748821635534466
CG Iteration #30, relres 0.7627104779891686
CG Iteration #31, relres 0.7501641988976336
CG Iteration #32, relres 0.7365093948851412
CG Iteration #33, relres 0.7241043914617515
CG Iteration #34, relres 0.7090258488365876
CG Iteration #35, relres 0.6943356805247765
CG Iteration #36, relres 0.6829015686325026
CG Iteration #37, relres 0.6676567771204636
CG Iteration #38, relres 0.6539254082686691
CG Iteration #39, relres 0.6397454047794665
CG Iteration #40, relres 0.6255377230240819
CG Iteration #41, relres 0.6128661795791069
CG Iteration #42, relres 0.5991974170880613
CG Iteration #43, relres 0.5866499240005375
CG Iteration #44, relres 0.5729864831174809
CG Iteration #45, relres 0.5605201636610972
CG Iteration #46, relres 0.5466498113285887
CG Iteration #47, relres 0.5320219110011288
CG Iteration #48, relres 0.5182363363263469
CG Iteration #49, relres 0.5044662809067075
CG Iteration #50, relres 0.4927845787454452
CG Iteration #51, relres 0.4785675948531318
CG Iteration #52, relres 0.4649464853761234
CG Iteration #53, relres 0.4502957389236539
CG Iteration #54, relres 0.4373012784788579
CG Iteration #55, relres 0.4231297783990705
CG Iteration #56, relres 0.4105365722945937
CG Iteration #57, relres 0.3987598129782500
CG Iteration #58, relres 0.3841634435325168
CG Iteration #59, relres 0.3708945799655650
CG Iteration #60, relres 0.3601119132775308
CG Iteration #61, relres 0.3482827687872864
CG Iteration #62, relres 0.3342288229390247
CG Iteration #63, relres 0.3222215328889835
CG Iteration #64, relres 0.3109403406950981
CG Iteration #65, relres 0.2975413019509220
CG Iteration #66, relres 0.2865619228040052
CG Iteration #67, relres 0.2759644066605116
CG Iteration #68, relres 0.2652213593575352
CG Iteration #69, relres 0.2557740433565983
CG Iteration #70, relres 0.2462753445398695
CG Iteration #71, relres 0.2370224358001607
CG Iteration #72, relres 0.2283469372807178
CG Iteration #73, relres 0.2198925805074018
CG Iteration #74, relres 0.2113779220891115
CG Iteration #75, relres 0.2026638516258073
CG Iteration #76, relres 0.1957792563753122
CG Iteration #77, relres 0.1890174772541415
CG Iteration #78, relres 0.1818575747788303
CG Iteration #79, relres 0.1758777441505401
CG Iteration #80, relres 0.1693122947387166
CG Iteration #81, relres 0.1623971943191925
CG Iteration #82, relres 0.1556520964689913
CG Iteration #83, relres 0.1507669151016325
CG Iteration #84, relres 0.1455309009986855
CG Iteration #85, relres 0.1398043952998277
CG Iteration #86, relres 0.1352024163584098
CG Iteration #87, relres 0.1302266021577251
CG Iteration #88, relres 0.1249184960664968
CG Iteration #89, relres 0.1201951905794864
CG Iteration #90, relres 0.1157423092320940
CG Iteration #91, relres 0.1115100083826472
CG Iteration #92, relres 0.1073024684069788
CG Iteration #93, relres 0.1029870382455666
CG Iteration #94, relres 0.0992075594188813
CG Iteration #95, relres 0.0956905217873429
CG Iteration #96, relres 0.0921131290919814
CG Iteration #97, relres 0.0889710894819060
CG Iteration #98, relres 0.0853610726891625
CG Iteration #99, relres 0.0818736455347025
CG Iteration #100, relres 0.0785338295478112
CG Iteration #101, relres 0.0762379224022073
CG Iteration #102, relres 0.0734826248704393
CG Iteration #103, relres 0.0705315954495558
CG Iteration #104, relres 0.0674892796271005
CG Iteration #105, relres 0.0650955671861501
CG Iteration #106, relres 0.0623295248280950
CG Iteration #107, relres 0.0596962549654748
CG Iteration #108, relres 0.0574795015331506
CG Iteration #109, relres 0.0551866279262361
CG Iteration #110, relres 0.0527232299455564
