anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 1      errA=892.1574661083578      err2_a=0.9986538984263951      err2_b=913.4022765186573
iter = 2      errA=889.3213494041856      err2_a=0.9941984342236955      err2_b=915.271068392187
iter = 3      errA=887.7474879901928      err2_a=0.9919661621301576      err2_b=915.8240640370016
iter = 4      errA=884.2274546015136      err2_a=0.9866341158239189      err2_b=917.2367024616601
iter = 5      errA=880.4797882439108      err2_a=0.981235801826976      err2_b=918.3094490350488
iter = 6      errA=874.3107646627019      err2_a=0.9719866193090559      err2_b=919.6341038539185
iter = 7      errA=871.1909168262072      err2_a=0.967466629220546      err2_b=920.3436444093194
iter = 8      errA=867.09003785516      err2_a=0.9617815960133078      err2_b=919.7933314478391
iter = 9      errA=860.8801484022528      err2_a=0.9534275716021671      err2_b=918.9905196414583
iter = 10      errA=856.2305429575256      err2_a=0.9474076518584292      err2_b=917.6912765914179
iter = 11      errA=850.1710957420215      err2_a=0.9393775824325082      err2_b=916.1760271080765
iter = 12      errA=843.1999451458228      err2_a=0.9304812261180248      err2_b=912.9496673794898
iter = 13      errA=837.3566891630461      err2_a=0.9232813423753191      err2_b=910.4141018494678
iter = 14      errA=830.725669900925      err2_a=0.915194719661521      err2_b=907.333129626065
iter = 15      errA=821.9697045627455      err2_a=0.9047666782682521      err2_b=901.4452366436526
iter = 16      errA=814.654740105063      err2_a=0.896052180627546      err2_b=896.8151945680581
iter = 17      errA=807.6090034469263      err2_a=0.8879108871184878      err2_b=891.3216334352745
iter = 18      errA=799.4156467842638      err2_a=0.8785709555766629      err2_b=885.6645872787881
iter = 19      errA=793.2536361087596      err2_a=0.8713205483886802      err2_b=881.5449813468442
iter = 20      errA=785.1239052404079      err2_a=0.8618771298033484      err2_b=875.8147157381102
iter = 21      errA=775.8660700814563      err2_a=0.8515007777244987      err2_b=867.8869046213841
