CG Iteration #1, relres 0.3328201177351375, actualerr(2-norm) 0.9881497862166444, actualerr(A-norm) 0.2400000000000000
CG Iteration #2, relres 0.1642945205414122, actualerr(2-norm) 0.9820860831883547, actualerr(A-norm) 0.0997229916897507
CG Iteration #3, relres 0.0935799591383145, actualerr(2-norm) 0.9776837167589381, actualerr(A-norm) 0.0511242603550296
CG Iteration #4, relres 0.0570164237937746, actualerr(2-norm) 0.9740350612444216, actualerr(A-norm) 0.0291098582691314
CG Iteration #5, relres 0.0360057774224995, actualerr(2-norm) 0.9707912481024485, actualerr(A-norm) 0.0175838091469275
CG Iteration #6, relres 0.0232077205761220, actualerr(2-norm) 0.9677831067722305, actualerr(A-norm) 0.0110051206739693
CG Iteration #7, relres 0.0151432632261081, actualerr(2-norm) 0.9649178816475924, actualerr(A-norm) 0.0070418792029034
CG Iteration #8, relres 0.0099564822926613, actualerr(2-norm) 0.9621409142164888, actualerr(A-norm) 0.0045700449181126
CG Iteration #9, relres 0.0065778485735844, actualerr(2-norm) 0.9594185242566073, actualerr(A-norm) 0.0029931670466217
CG Iteration #10, relres 0.0043592227710641, actualerr(2-norm) 0.9567293555109061, actualerr(A-norm) 0.0019721737420592
CG Iteration #11, relres 0.0028947546934582, actualerr(2-norm) 0.9540596086914565, actualerr(A-norm) 0.0013045901314291
CG Iteration #12, relres 0.0019248211197908, actualerr(2-norm) 0.9514002527532790, actualerr(A-norm) 0.0008652406165819
CG Iteration #13, relres 0.0012809993138505, actualerr(2-norm) 0.9487453232659498, actualerr(A-norm) 0.0005748460758763
CG Iteration #14, relres 0.0008530194086818, actualerr(2-norm) 0.9460908533179814, actualerr(A-norm) 0.0003823540480346
CG Iteration #15, relres 0.0005682452325896, actualerr(2-norm) 0.9434341882003811, actualerr(A-norm) 0.0002545141813567
CG Iteration #16, relres 0.0003786374673744, actualerr(2-norm) 0.9407735400455441, actualerr(A-norm) 0.0001695037753783
CG Iteration #17, relres 0.0002523394478645, actualerr(2-norm) 0.9381076957061022, actualerr(A-norm) 0.0001129260161337
CG Iteration #18, relres 0.0001681883172110, actualerr(2-norm) 0.9354358239431184, actualerr(A-norm) 0.0000752500391735
CG Iteration #19, relres 0.0001121086737164, actualerr(2-norm) 0.9327573476242719, actualerr(A-norm) 0.0000501516028166
CG Iteration #20, relres 0.0000747316203665, actualerr(2-norm) 0.9300718587712099, actualerr(A-norm) 0.0000334276977478
CG Iteration #21, relres 0.0000498177497704, actualerr(2-norm) 0.9273790619804513, actualerr(A-norm) 0.0000222821529653
CG Iteration #22, relres 0.0000332103532170, actualerr(2-norm) 0.9246787366910776, actualerr(A-norm) 0.0000148534449241
CG Iteration #23, relres 0.0000221395777897, actualerr(2-norm) 0.9219707119973717, actualerr(A-norm) 0.0000099017083618
CG Iteration #24, relres 0.0000147594262423, actualerr(2-norm) 0.9192548498234143, actualerr(A-norm) 0.0000066008774810
CG Iteration #25, relres 0.0000098394875972, actualerr(2-norm) 0.9165310336766317, actualerr(A-norm) 0.0000044004688033
CG Iteration #26, relres 0.0000065596006678, actualerr(2-norm) 0.9137991611258192, actualerr(A-norm) 0.0000029335942333
CG Iteration #27, relres 0.0000043730414545, actualerr(2-norm) 0.9110591387666001, actualerr(A-norm) 0.0000019557065402
CG Iteration #28, relres 0.0000029153495665, actualerr(2-norm) 0.9083108788485571, actualerr(A-norm) 0.0000013037941609
CG Iteration #29, relres 0.0000019435613097, actualerr(2-norm) 0.9055542970125494, actualerr(A-norm) 0.0000008691915743
CG Iteration #30, relres 0.0000012957052874, actualerr(2-norm) 0.9027893107697805, actualerr(A-norm) 0.0000005794590349
CG Iteration #31, relres 0.0000008638025238, actualerr(2-norm) 0.9000158384764206, actualerr(A-norm) 0.0000003863051279
CG Iteration #32, relres 0.0000005758679043, actualerr(2-norm) 0.8972337986392377, actualerr(A-norm) 0.0000002575363540
CG Iteration #33, relres 0.0000003839117385, actualerr(2-norm) 0.8944431094422536, actualerr(A-norm) 0.0000001716907258
CG Iteration #34, relres 0.0000002559410711, actualerr(2-norm) 0.8916436884208955, actualerr(A-norm) 0.0000001144604052
CG Iteration #35, relres 0.0000001706273417, actualerr(2-norm) 0.8888354522344853, actualerr(A-norm) 0.0000000763069019
