=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 64
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327380
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i=  2, err2=0.012346, errA = 0.144015
i=  3, err2=0.00322047, errA = 0.0540881
i=  4, err2=0.00189766, errA = 0.0319199
i=  5, err2=0.00100413, errA = 0.0177386
i=  6, err2=0.00014349, errA = 0.0113999
i=  7, err2=3.88073e-05, errA = 0.00449597
i=  8, err2=9.55827e-06, errA = 0.00400718
i=  9, err2=4.70426e-07, errA = 0.00116796
i= 10, err2=4.04517e-07, errA = 0.00109672
i= 11, err2=2.77967e-36, errA = 2.48094e-36
i= 12, err2=4.82783e-45, errA = 1.19805e-44
i= 13, err2=8.10075e-57, errA = 7.66518e-56
i= 14, err2=4.89678e-58, errA = 5.25252e-57
i= 15, err2=5.38321e-59, errA = 6.88111e-58
i= 16, err2=1.36518e-60, errA = 2.91998e-59
i= 17, err2=1.77869e-62, errA = 1.65516e-62
i= 18, err2=9.23863e-65, errA = 4.68198e-63
i= 19, err2=8.21117e-64, errA = 2.48762e-63
i= 20, err2=9.74672e-66, errA = 7.35011e-64
i= 21, err2=2.04443e-64, errA = 1.88812e-64
i= 22, err2=1.30918e-68, errA = 1.12636e-66
i= 23, err2=2.68514e-68, errA = 1.12275e-66
i= 24, err2=3.78933e-69, errA = 1.11738e-66
i= 25, err2=8.77603e-69, errA = 1.11735e-66
i= 26, err2=4.64099e-69, errA = 1.11519e-66
i= 27, err2=7.2242e-68, errA = 1.11039e-66
i= 28, err2=4.682e-68, errA = 1.10652e-66
i= 29, err2=2.27335e-68, errA = 1.09146e-66
i= 30, err2=3.54443e-67, errA = 8.91285e-67
i= 31, err2=2.62758e-68, errA = 8.1301e-67
i= 32, err2=1.3629e-67, errA = 3.15635e-67
i= 33, err2=1.41694e-67, errA = 2.4988e-67
i= 34, err2=2.38262e-69, errA = 7.43577e-68
i= 35, err2=1.4816e-68, errA = 6.9768e-68
i= 36, err2=5.49251e-70, errA = 6.80514e-68
i= 37, err2=7.94824e-70, errA = 6.76425e-68
i= 38, err2=5.92542e-70, errA = 6.76367e-68
i= 39, err2=7.40289e-70, errA = 6.76029e-68
i= 40, err2=8.94107e-69, errA = 6.66115e-68
i= 41, err2=6.09032e-70, errA = 6.5739e-68
i= 42, err2=6.30344e-70, errA = 6.57101e-68
i= 43, err2=7.99112e-70, errA = 6.57034e-68
